sorszam,uid,nev,email,jelszo,role,city,district,irsz
"1","FGiVC8JrzHe5jlDYhQFQMN8yt9A2","Kovacs Bence","kovacs1979.bence@postalink.hu","TesztUser2026!","pharmacist","Baja","","6500"
"2","D1hmiegElcgEsqb5gmu6wjSFyMi2","Nagy Anna","anna126.nagy@inkmail.net","TesztUser2026!","pharmacist","Komarom","","2900"
"3","HWS4UctPE3X36VLuOLTMlmoVHTm1","Molnár Dóra","molnar.dora.31@citymail.hu","TesztUser2026!","pharmacist","Paks","","7030"
"4","7bZxYEVuvuhi5mKajZ3W8bpTivw2","Papp Levente","levente.budaors38@levbox.org","TesztUser2026!","pharmacist","Budaors","","2040"
"5","PSCF6TsOeZZmt16kH83K7PJp4kr1","Juhász Nora","nora.juhasz45@horizontmail.hu","TesztUser2026!","pharmacist","Paks","","7030"
"6","Z6b9xLG7LKR6TfRRgrriV32diOk2","Biró Máté","biro1984.mate@rapidmail.net","TesztUser2026!","pharmacist","Baja","","6500"
"7","VNBGLLFTrzVXclkJUDAbaJRqOzD3","Kadar Petra","petra191.kadar@urbanposta.hu","TesztUser2026!","pharmacist","Ozd","","3600"
"8","sTLcRPzBwih1ImpVrZXP9owX7x83","Bodnár Dávid","bodnar.david.66@directmail.co","TesztUser2026!","pharmacist","Paks","","7030"
"9","RZm4Rq7JBqSm0wwFPb4ESzjTzw13","Cserna Eszter","eszter.cegled73@northmail.eu","TesztUser2026!","pharmacist","Cegled","","2700"
"10","LtZixTRt8BXrtPZH4uusu1b0EQB2","Kecskes Balázs","balazs.kecskes80@mailhub.hu","TesztUser2026!","pharmacist","Hajduszoboszlo","","4200"
"11","piHIeJO8cSQu0AdMVxrg4M9XapN2","Kovács Réka","kovacs1989.reka@postalink.hu","TesztUser2026!","pharmacist","Makó","","6900"
"12","EDnbNmIVtGP8H3tYT2NJR8Rcym12","Nagy Gábor","gabor256.nagy@inkmail.net","TesztUser2026!","pharmacist","Keszthely","","8360"
"13","PT84DIIFG3WsrbgvrIGwOgiwknM2","Molnar Zsofia","molnar.zsofia.11@citymail.hu","TesztUser2026!","pharmacist","Paks","","7030"
"14","bjmOEEXC6NOh7JbhnvhYpXiw7ch2","Papp Ádám","adam.szolnok18@levbox.org","TesztUser2026!","pharmacist","Szolnok","","5000"
"15","QSnrI1mqsVe2u1SexC60fX2LRyz1","Juhász Kata","kata.juhasz25@horizontmail.hu","TesztUser2026!","pharmacist","Kalocsa","","6300"
"16","nvjXMylxSJZOYNg3GUCgK8qc6ls2","Biro Gergely","biro1994.gergely@rapidmail.net","TesztUser2026!","pharmacist","Hodmezovasarhely","","6800"
"17","67CmpdidQ7eSCcgDq1DqXonL2jq1","Kádár Judit","judit321.kadar@urbanposta.hu","TesztUser2026!","pharmacist","Balatonfured","","8230"
"18","azOkS0JDn2MVCCILCyUtSlQasqJ3","Bodnár András","bodnar.andras.46@directmail.co","TesztUser2026!","pharmacist","Bekescsaba","","5600"
"19","zXP6bljLKwV33hQSdkPLbcQC8042","Cserna Viktória","viktoria.baja53@northmail.eu","TesztUser2026!","pharmacist","Baja","","6500"
"20","XrRD3jdygyepJ7db1Xuz7pDKwTl2","Kecskés Tamás","tamas.kecskes60@mailhub.hu","TesztUser2026!","pharmacist","Gyor","","9021"
"21","WQSqMdpggVaFBrLV6bdwqxNyDvV2","Kovács Szilvia","kovacs1999.szilvia@postalink.hu","TesztUser2026!","pharmacist","Veszprem","","8200"
"22","plQOhi4nlEN6qwgmLZWY7KsaOSE3","Nagy Miklós","miklos386.nagy@inkmail.net","TesztUser2026!","pharmacist","Hodmezovasarhely","","6800"
"23","oezjLAFuE6eflPvBMlDByKPswMO2","Molnár Noémi","molnar.noemi.81@citymail.hu","TesztUser2026!","pharmacist","Dunakeszi","","2120"
"24","q6WNRMCMrJMZelzkxgAZtHZapuo2","Papp István","istvan.siofok88@levbox.org","TesztUser2026!","pharmacist","Siofok","","8600"
"25","uvdrRukydBbtNQNgpGTzAEI5vd42","Juhasz Renata","renata.juhasz95@horizontmail.hu","TesztUser2026!","pharmacist","Cegled","","2700"
"26","m6DXwGyhYYSfIKskrL3W6linBLD2","Biró Kristóf","biro1980.kristof@rapidmail.net","TesztUser2026!","pharmacist","Dunaujvaros","","2400"
"27","YaEP9AkPsJePflAdjhWpNnxgttn1","Kádár Márta","marta451.kadar@urbanposta.hu","TesztUser2026!","pharmacist","Kazincbarcika","","3700"
"28","2TwncwQhWCbEzUv42GTwQJlsJEt2","Bodnar Áron","bodnar.aron.26@directmail.co","TesztUser2026!","pharmacist","Kalocsa","","6300"
"29","bv48HDs4sNd0kPWJjm4YHgNgKhy2","Cserna Melinda","melinda.godollo33@northmail.eu","TesztUser2026!","pharmacist","Godollo","","2100"
"30","VJQbUBTxl4MY54wlqBYoSvJ8NqM2","Kecskés Dániel","daniel.kecskes40@mailhub.hu","TesztUser2026!","pharmacist","Zalaegerszeg","","8900"
"31","hMQTwwtLsSXwtBBQE7X06skQqKH3","Kovacs Ildikó","kovacs1985.ildiko@postalink.hu","TesztUser2026!","pharmacist","Dunakeszi","","2120"
"32","hLmXxnnxQZVvmwoWMBbhBpl7weO2","Nagy Csaba","csaba516.nagy@inkmail.net","TesztUser2026!","pharmacist","Esztergom","","2500"
"33","t8WmsMFekYcfWrYtRl5soscryBd2","Molnár Kinga","molnar.kinga.61@citymail.hu","TesztUser2026!","pharmacist","Tapolca","","8300"
"34","1WjQsmY2h8PQqkYTTisL6Wpkndp1","Papp Roland","roland.mosonmagyarovar68@levbox.org","TesztUser2026!","pharmacist","Mosonmagyarovar","","9200"
"35","y4ocbxBoteUtDFobXpCKR7m1nAr1","Juhász Adrienn","adrienn.juhasz75@horizontmail.hu","TesztUser2026!","pharmacist","Makó","","6900"
"36","T310tXnKwaQTwL1ln33SdG6Mkwx1","Biró Ákos","biro1990.akos@rapidmail.net","TesztUser2026!","pharmacist","Heviz","","8380"
"37","Jn5twBVKImZbRCCMphCqZq8hFO73","Kadar Orsolya","orsolya581.kadar@urbanposta.hu","TesztUser2026!","pharmacist","Papa","","8500"
