sorszam,vezeteknev,utonev,teljesNev,role,city,district,postalCode,country,email,phone
"1","Kovacs","Anna","Kovacs Anna","pharmacist","Kaposvar","","7400","HU","",""
"2","Szabo","David","Szabo David","pharmacist","Hodmezovasarhely","","6800","HU","",""
"3","Toth","Kata","Toth Kata","pharmacist","Debrecen","","4024","HU","",""
"4","Nagy","Miklos","Nagy Miklos","pharmacist","Esztergom","","2500","HU","",""
"5","Varga","Melinda","Varga Melinda","pharmacist","Gyor","","9021","HU","",""
"6","Kiss","Akos","Kiss Akos","pharmacist","Zalaegerszeg","","8900","HU","",""
"7","Molnar","Gergo","Molnar Gergo","pharmacist","Hajduszoboszlo","","4200","HU","",""
"8","Farkas","Milan","Farkas Milan","pharmacist","Szeged","","6720","HU","",""
"9","Balogh","Eszter","Balogh Eszter","pharmacist","Gyongyos","","3200","HU","",""
"10","Papp","Adam","Papp Adam","pharmacist","Sopron","","9400","HU","",""
"11","Lakatos","Szilvia","Lakatos Szilvia","pharmacist","Gyor","","9021","HU","",""
"12","Takacs","Aron","Takacs Aron","pharmacist","Hodmezovasarhely","","6800","HU","",""
"13","Juhasz","Adrienn","Juhasz Adrienn","pharmacist","Kaposvar","","7400","HU","",""
"14","Meszaros","Boglarka","Meszaros Boglarka","pharmacist","Eger","","3300","HU","",""
"15","Horvath","Hanna","Horvath Hanna","pharmacist","Veszprem","","8200","HU","",""
"16","Biro","Mate","Biro Mate","pharmacist","Heviz","","8380","HU","",""
"17","Sipos","Zsofia","Sipos Zsofia","pharmacist","Balatonfured","","8230","HU","",""
"18","Nemes","Tamas","Nemes Tamas","pharmacist","Kazincbarcika","","3700","HU","",""
"19","Kadar","Marta","Kadar Marta","pharmacist","Szombathely","","9700","HU","",""
"20","Simon","Roland","Simon Roland","pharmacist","Veszprem","","8200","HU","",""
"21","Vincze","Vivien","Vincze Vivien","pharmacist","Veszprem","","8200","HU","",""
"22","Bodnar","Zalan","Bodnar Zalan","pharmacist","Nyiregyhaza","","4400","HU","",""
"23","Kelemen","Noemi","Kelemen Noemi","pharmacist","Heviz","","8380","HU","",""
"24","Hegedus","Gabor","Hegedus Gabor","pharmacist","Debrecen","","4024","HU","",""
"25","Cserna","Viktoria","Cserna Viktoria","pharmacist","Szeged","","6720","HU","",""
"26","Barta","Kristof","Barta Kristof","pharmacist","Papa","","8500","HU","",""
"27","Szalai","Kinga","Szalai Kinga","pharmacist","Szekesfehervar","","8000","HU","",""
"28","Kecskes","Patrik","Kecskes Patrik","pharmacist","Debrecen","","4024","HU","",""
"29","Gulyas","Laszlo","Gulyas Laszlo","pharmacist","Salgotarjan","","3100","HU","",""
"30","Antal","Levente","Antal Levente","pharmacist","Godollo","","2100","HU","",""
"31","Orban","Reka","Orban Reka","pharmacist","Ozd","","3600","HU","",""
"32","Illes","Andras","Illes Andras","pharmacist","Keszthely","","8360","HU","",""
"33","Bencze","Renata","Bencze Renata","pharmacist","Dunakeszi","","2120","HU","",""
"34","Feher","Csaba","Feher Csaba","pharmacist","Veszprem","","8200","HU","",""
"35","Boros","Agnes","Boros Agnes","pharmacist","Miskolc","","3525","HU","",""
"36","Kis","Bianka","Kis Bianka","pharmacist","Komarom","","2900","HU","",""
"37","Kocsis","Dora","Kocsis Dora","pharmacist","Balatonfured","","8230","HU","",""
"38","Fodor","Balazs","Fodor Balazs","pharmacist","Kiskunhalas","","6400","HU","",""
"39","Hajdu","Judit","Hajdu Judit","pharmacist","Mako","","6900","HU","",""
"40","Barna","Istvan","Barna Istvan","pharmacist","Komarom","","2900","HU","",""
"41","Fazekas","Ildiko","Fazekas Ildiko","pharmacist","Balassagyarmat","","2660","HU","",""
"42","Madarasz","Marcell","Madarasz Marcell","pharmacist","Szombathely","","9700","HU","",""
"43","Racz","Attila","Racz Attila","pharmacist","Bekescsaba","","5600","HU","",""
"44","Dobi","Bence","Dobi Bence","pharmacist","Keszthely","","8360","HU","",""
"45","Tamasi","Petra","Tamasi Petra","pharmacist","Zalaegerszeg","","8900","HU","",""
"46","Veres","Gergely","Veres Gergely","pharmacist","Hodmezovasarhely","","6800","HU","",""
"47","Kolozsi","Nora","Kolozsi Nora","pharmacist","Kecskemet","","6000","HU","",""
"48","Pall","Daniel","Pall Daniel","pharmacist","Dunaujvaros","","2400","HU","",""
